Material,Quantity,Weight,Type,Size Range,Price
Paddy Straw,17,36,Farming Land,12mm to 70mm,3062
Cowdung,64,43,Land,8mm to 20mm,3236
Pressmud,51,32,Sugarcane Industry,12mm to 20mm,1707
Cowdung,66,44,Land,8mm to 20mm,3822
Groundnut,24,19,Industry,8mm to 90mm,5355
Sawdust,14,16,Industry,8mm to 90mm,3911
Groundnut,33,2,Industry,8mm to 90mm,5259
Paddy Straw,11,42,Farming Land,12mm to 70mm,3632
Groundnut,39,5,Industry,8mm to 90mm,5443
Sawdust,14,23,Industry,8mm to 90mm,4034
Groundnut,21,5,Industry,8mm to 90mm,4889
Cowdung,71,41,Land,8mm to 20mm,3187
Pressmud,48,39,Sugarcane Industry,12mm to 20mm,2451
Cowdung,67,39,Land,8mm to 20mm,3282
Sawdust,18,28,Industry,8mm to 90mm,3628
Paddy Straw,24,44,Farming Land,12mm to 70mm,3490
Sawdust,29,29,Industry,8mm to 90mm,3804
Groundnut,34,13,Industry,8mm to 90mm,5166
Groundnut,38,18,Industry,8mm to 90mm,4656
Sawdust,29,27,Industry,8mm to 90mm,4248
Sawdust,15,19,Industry,8mm to 90mm,3632
Cowdung,64,36,Land,8mm to 20mm,3929
Groundnut,31,20,Industry,8mm to 90mm,5172
Paddy Straw,18,35,Farming Land,12mm to 70mm,3555
Pressmud,59,25,Sugarcane Industry,12mm to 20mm,2012
Groundnut,24,16,Industry,8mm to 90mm,5080
Cowdung,76,40,Land,8mm to 20mm,3217
Pressmud,60,39,Sugarcane Industry,12mm to 20mm,1685
Pressmud,42,38,Sugarcane Industry,12mm to 20mm,2220
Sawdust,10,15,Industry,8mm to 90mm,4434
Paddy Straw,16,48,Farming Land,12mm to 70mm,3699
Sawdust,23,12,Industry,8mm to 90mm,3748
Cowdung,61,48,Land,8mm to 20mm,3296
Sawdust,12,10,Industry,8mm to 90mm,4186
Pressmud,41,25,Sugarcane Industry,12mm to 20mm,1848
Paddy Straw,30,45,Farming Land,12mm to 70mm,3151
Pressmud,59,28,Sugarcane Industry,12mm to 20mm,1923
Groundnut,26,17,Industry,8mm to 90mm,5377
Cowdung,71,40,Land,8mm to 20mm,3547
Paddy Straw,25,37,Farming Land,12mm to 70mm,3289
Sawdust,23,16,Industry,8mm to 90mm,4192
Cowdung,65,39,Land,8mm to 20mm,3959
Cowdung,71,35,Land,8mm to 20mm,3165
Sawdust,10,14,Industry,8mm to 90mm,4252
Pressmud,53,22,Sugarcane Industry,12mm to 20mm,1700
Pressmud,42,37,Sugarcane Industry,12mm to 20mm,2065
Pressmud,58,38,Sugarcane Industry,12mm to 20mm,1710
Paddy Straw,24,48,Farming Land,12mm to 70mm,2912
Cowdung,66,48,Land,8mm to 20mm,3119
Sawdust,19,24,Industry,8mm to 90mm,4339
Cowdung,71,34,Land,8mm to 20mm,3320
Paddy Straw,14,31,Farming Land,12mm to 70mm,3191
Pressmud,47,24,Sugarcane Industry,12mm to 20mm,1861
Groundnut,27,13,Industry,8mm to 90mm,4624
Groundnut,36,19,Industry,8mm to 90mm,5461
Paddy Straw,16,30,Farming Land,12mm to 70mm,3622
Paddy Straw,22,37,Farming Land,12mm to 70mm,3196
Paddy Straw,11,36,Farming Land,12mm to 70mm,3716
Pressmud,49,40,Sugarcane Industry,12mm to 20mm,1573
Cowdung,73,32,Land,8mm to 20mm,3589
Sawdust,23,27,Industry,8mm to 90mm,3893
Pressmud,58,20,Sugarcane Industry,12mm to 20mm,2120
Groundnut,27,16,Industry,8mm to 90mm,4608
Pressmud,47,21,Sugarcane Industry,12mm to 20mm,1745
Paddy Straw,10,37,Farming Land,12mm to 70mm,3007
Paddy Straw,10,42,Farming Land,12mm to 70mm,3135
Sawdust,27,23,Industry,8mm to 90mm,3949
Sawdust,11,28,Industry,8mm to 90mm,3992
Pressmud,57,31,Sugarcane Industry,12mm to 20mm,2285
Groundnut,38,2,Industry,8mm to 90mm,4813
Paddy Straw,24,43,Farming Land,12mm to 70mm,3280
Groundnut,28,20,Industry,8mm to 90mm,4687
Groundnut,29,15,Industry,8mm to 90mm,5422
Sawdust,14,29,Industry,8mm to 90mm,3670
Pressmud,55,27,Sugarcane Industry,12mm to 20mm,1554
Cowdung,68,39,Land,8mm to 20mm,3417
Pressmud,43,39,Sugarcane Industry,12mm to 20mm,2021
Sawdust,17,29,Industry,8mm to 90mm,4406
Paddy Straw,17,31,Farming Land,12mm to 70mm,3281
Pressmud,42,35,Sugarcane Industry,12mm to 20mm,1659
Cowdung,79,43,Land,8mm to 20mm,3914
Pressmud,45,35,Sugarcane Industry,12mm to 20mm,1769
Sawdust,28,17,Industry,8mm to 90mm,4319
Paddy Straw,10,42,Farming Land,12mm to 70mm,3391
Sawdust,17,20,Industry,8mm to 90mm,3935
Cowdung,74,32,Land,8mm to 20mm,3854
Paddy Straw,11,44,Farming Land,12mm to 70mm,2978
Groundnut,38,4,Industry,8mm to 90mm,5136
Sawdust,19,15,Industry,8mm to 90mm,3539
Pressmud,43,24,Sugarcane Industry,12mm to 20mm,1805
Cowdung,77,47,Land,8mm to 20mm,3621
Groundnut,32,3,Industry,8mm to 90mm,5473
Groundnut,37,7,Industry,8mm to 90mm,4978
Cowdung,78,30,Land,8mm to 20mm,3811
Cowdung,74,34,Land,8mm to 20mm,3545
Groundnut,20,17,Industry,8mm to 90mm,5286
Groundnut,35,0,Industry,8mm to 90mm,5086
Groundnut,23,7,Industry,8mm to 90mm,5465
Paddy Straw,11,46,Farming Land,12mm to 70mm,3785
Sawdust,13,16,Industry,8mm to 90mm,4130
Cowdung,71,30,Land,8mm to 20mm,3622
Paddy Straw,18,44,Farming Land,12mm to 70mm,3518
Groundnut,24,20,Industry,8mm to 90mm,5282
Groundnut,20,7,Industry,8mm to 90mm,5145
Paddy Straw,22,50,Farming Land,12mm to 70mm,3515
Pressmud,56,31,Sugarcane Industry,12mm to 20mm,2125
Cowdung,72,34,Land,8mm to 20mm,3189
Groundnut,26,19,Industry,8mm to 90mm,4859
Pressmud,58,20,Sugarcane Industry,12mm to 20mm,2297
Groundnut,26,8,Industry,8mm to 90mm,4555
Cowdung,65,48,Land,8mm to 20mm,3244
Pressmud,44,34,Sugarcane Industry,12mm to 20mm,2060
Groundnut,33,0,Industry,8mm to 90mm,4561
Pressmud,52,37,Sugarcane Industry,12mm to 20mm,1667
Groundnut,20,20,Industry,8mm to 90mm,4537
Pressmud,50,20,Sugarcane Industry,12mm to 20mm,2094
Pressmud,43,39,Sugarcane Industry,12mm to 20mm,1797
Paddy Straw,29,44,Farming Land,12mm to 70mm,3733
Sawdust,22,12,Industry,8mm to 90mm,3550
Pressmud,49,30,Sugarcane Industry,12mm to 20mm,2494
Sawdust,19,28,Industry,8mm to 90mm,4397
Paddy Straw,11,46,Farming Land,12mm to 70mm,2978
Paddy Straw,14,39,Farming Land,12mm to 70mm,3867
Groundnut,30,2,Industry,8mm to 90mm,5181
Groundnut,26,18,Industry,8mm to 90mm,4529
Groundnut,27,7,Industry,8mm to 90mm,5114
Paddy Straw,20,50,Farming Land,12mm to 70mm,3123
Cowdung,72,37,Land,8mm to 20mm,3971
Sawdust,14,10,Industry,8mm to 90mm,3850
Pressmud,46,24,Sugarcane Industry,12mm to 20mm,2059
Cowdung,64,30,Land,8mm to 20mm,3515
Paddy Straw,13,43,Farming Land,12mm to 70mm,3582
Paddy Straw,16,38,Farming Land,12mm to 70mm,3340
Paddy Straw,11,35,Farming Land,12mm to 70mm,3187
Cowdung,60,39,Land,8mm to 20mm,3509
Sawdust,30,26,Industry,8mm to 90mm,4493
Cowdung,69,37,Land,8mm to 20mm,3182
Paddy Straw,19,45,Farming Land,12mm to 70mm,3809
Cowdung,80,33,Land,8mm to 20mm,3254
Cowdung,64,39,Land,8mm to 20mm,3801
Groundnut,27,5,Industry,8mm to 90mm,5152
Paddy Straw,19,49,Farming Land,12mm to 70mm,3148
Paddy Straw,25,33,Farming Land,12mm to 70mm,3053
Pressmud,44,27,Sugarcane Industry,12mm to 20mm,1651
Cowdung,65,38,Land,8mm to 20mm,3853
Sawdust,27,23,Industry,8mm to 90mm,3520
Pressmud,52,27,Sugarcane Industry,12mm to 20mm,1517
Sawdust,22,13,Industry,8mm to 90mm,4217
Groundnut,32,16,Industry,8mm to 90mm,4871
Cowdung,66,49,Land,8mm to 20mm,3605
Cowdung,63,36,Land,8mm to 20mm,3598
Cowdung,72,37,Land,8mm to 20mm,3004
Pressmud,58,32,Sugarcane Industry,12mm to 20mm,1888
Groundnut,31,17,Industry,8mm to 90mm,5032
Sawdust,15,29,Industry,8mm to 90mm,3947
Pressmud,44,27,Sugarcane Industry,12mm to 20mm,1707
Paddy Straw,17,40,Farming Land,12mm to 70mm,3833
Cowdung,74,49,Land,8mm to 20mm,3129
Pressmud,55,32,Sugarcane Industry,12mm to 20mm,2248
Sawdust,12,21,Industry,8mm to 90mm,3664
Sawdust,26,11,Industry,8mm to 90mm,3600
Sawdust,10,16,Industry,8mm to 90mm,4335
Sawdust,10,14,Industry,8mm to 90mm,3960
Paddy Straw,24,45,Farming Land,12mm to 70mm,3469
Pressmud,54,33,Sugarcane Industry,12mm to 20mm,1909
Pressmud,60,31,Sugarcane Industry,12mm to 20mm,1674
Groundnut,39,10,Industry,8mm to 90mm,5203
Cowdung,75,48,Land,8mm to 20mm,3776
Paddy Straw,16,30,Farming Land,12mm to 70mm,3694
Cowdung,68,50,Land,8mm to 20mm,3254
Groundnut,37,13,Industry,8mm to 90mm,4531
Cowdung,72,30,Land,8mm to 20mm,3430
Cowdung,67,32,Land,8mm to 20mm,3801
Groundnut,34,19,Industry,8mm to 90mm,5479
Sawdust,21,22,Industry,8mm to 90mm,3539
Paddy Straw,22,40,Farming Land,12mm to 70mm,3352
Pressmud,43,27,Sugarcane Industry,12mm to 20mm,2091
Pressmud,54,39,Sugarcane Industry,12mm to 20mm,2089
Sawdust,27,24,Industry,8mm to 90mm,3985
Sawdust,20,25,Industry,8mm to 90mm,4098
Paddy Straw,15,45,Farming Land,12mm to 70mm,3023
Cowdung,78,48,Land,8mm to 20mm,3677
Sawdust,14,16,Industry,8mm to 90mm,3755
Cowdung,60,31,Land,8mm to 20mm,3557
Sawdust,16,16,Industry,8mm to 90mm,4150
Cowdung,79,41,Land,8mm to 20mm,3413
Cowdung,78,39,Land,8mm to 20mm,3045
Groundnut,23,18,Industry,8mm to 90mm,5461
Groundnut,20,1,Industry,8mm to 90mm,5433
Groundnut,29,8,Industry,8mm to 90mm,5472
Sawdust,22,24,Industry,8mm to 90mm,4114
Paddy Straw,13,35,Farming Land,12mm to 70mm,3175
Pressmud,53,21,Sugarcane Industry,12mm to 20mm,1510
Pressmud,47,22,Sugarcane Industry,12mm to 20mm,2176
Cowdung,78,34,Land,8mm to 20mm,3298
Paddy Straw,19,45,Farming Land,12mm to 70mm,3463
Groundnut,33,15,Industry,8mm to 90mm,5438
Groundnut,27,17,Industry,8mm to 90mm,4974
Sawdust,11,18,Industry,8mm to 90mm,4306
Groundnut,25,7,Industry,8mm to 90mm,4808
Sawdust,14,30,Industry,8mm to 90mm,4141
Paddy Straw,25,34,Farming Land,12mm to 70mm,3693
Pressmud,40,38,Sugarcane Industry,12mm to 20mm,2338
Sawdust,29,24,Industry,8mm to 90mm,4233
Paddy Straw,12,47,Farming Land,12mm to 70mm,3355
Pressmud,51,37,Sugarcane Industry,12mm to 20mm,1653
Paddy Straw,28,40,Farming Land,12mm to 70mm,3203
Paddy Straw,28,42,Farming Land,12mm to 70mm,3337
Paddy Straw,11,42,Farming Land,12mm to 70mm,3046
Pressmud,60,39,Sugarcane Industry,12mm to 20mm,1983
Sawdust,11,30,Industry,8mm to 90mm,3546
Cowdung,64,49,Land,8mm to 20mm,3388
Sawdust,10,26,Industry,8mm to 90mm,3900
Groundnut,25,4,Industry,8mm to 90mm,5028
Sawdust,20,30,Industry,8mm to 90mm,3805
Paddy Straw,24,50,Farming Land,12mm to 70mm,3516
Cowdung,65,46,Land,8mm to 20mm,3827
Paddy Straw,16,32,Farming Land,12mm to 70mm,2908
Pressmud,56,30,Sugarcane Industry,12mm to 20mm,2068
Pressmud,50,24,Sugarcane Industry,12mm to 20mm,2128
Cowdung,76,47,Land,8mm to 20mm,3183
Pressmud,44,23,Sugarcane Industry,12mm to 20mm,2139
Paddy Straw,18,35,Farming Land,12mm to 70mm,3899
Cowdung,75,38,Land,8mm to 20mm,3172
Groundnut,31,13,Industry,8mm to 90mm,4712
Pressmud,54,21,Sugarcane Industry,12mm to 20mm,2090
Groundnut,40,13,Industry,8mm to 90mm,4754
Sawdust,26,13,Industry,8mm to 90mm,3730
Paddy Straw,10,33,Farming Land,12mm to 70mm,2910
Groundnut,23,20,Industry,8mm to 90mm,5411
Paddy Straw,14,34,Farming Land,12mm to 70mm,3753
Groundnut,20,2,Industry,8mm to 90mm,4756
Paddy Straw,16,40,Farming Land,12mm to 70mm,3558
Sawdust,30,12,Industry,8mm to 90mm,3665
Cowdung,73,32,Land,8mm to 20mm,3002
Pressmud,60,32,Sugarcane Industry,12mm to 20mm,2184
Pressmud,60,34,Sugarcane Industry,12mm to 20mm,1764
Groundnut,30,9,Industry,8mm to 90mm,4748
Paddy Straw,30,36,Farming Land,12mm to 70mm,3203
Sawdust,15,10,Industry,8mm to 90mm,3561
Cowdung,75,41,Land,8mm to 20mm,3264
Pressmud,47,37,Sugarcane Industry,12mm to 20mm,1982
Sawdust,23,21,Industry,8mm to 90mm,3849
Cowdung,72,35,Land,8mm to 20mm,3656
Cowdung,74,33,Land,8mm to 20mm,3263
Pressmud,44,34,Sugarcane Industry,12mm to 20mm,2221
Pressmud,53,32,Sugarcane Industry,12mm to 20mm,1886
Sawdust,19,18,Industry,8mm to 90mm,4070
Paddy Straw,16,40,Farming Land,12mm to 70mm,3652
Cowdung,70,40,Land,8mm to 20mm,3678
Pressmud,50,37,Sugarcane Industry,12mm to 20mm,2380
Cowdung,72,47,Land,8mm to 20mm,3902
Pressmud,41,25,Sugarcane Industry,12mm to 20mm,2261
Cowdung,70,35,Land,8mm to 20mm,3635
Sawdust,10,11,Industry,8mm to 90mm,4334
Sawdust,22,29,Industry,8mm to 90mm,4420
Paddy Straw,18,49,Farming Land,12mm to 70mm,3260
Cowdung,75,32,Land,8mm to 20mm,3299
Pressmud,51,30,Sugarcane Industry,12mm to 20mm,1648
Sawdust,28,13,Industry,8mm to 90mm,3998
Groundnut,21,19,Industry,8mm to 90mm,4792
Groundnut,34,1,Industry,8mm to 90mm,5205
Groundnut,34,9,Industry,8mm to 90mm,4893
Pressmud,45,25,Sugarcane Industry,12mm to 20mm,2386
Sawdust,15,30,Industry,8mm to 90mm,4317
Paddy Straw,15,34,Farming Land,12mm to 70mm,3470
Sawdust,16,19,Industry,8mm to 90mm,3609
Cowdung,63,39,Land,8mm to 20mm,3121
Groundnut,39,8,Industry,8mm to 90mm,5348
Pressmud,49,38,Sugarcane Industry,12mm to 20mm,2333
Pressmud,50,28,Sugarcane Industry,12mm to 20mm,1749
Sawdust,27,17,Industry,8mm to 90mm,3932
Paddy Straw,17,36,Farming Land,12mm to 70mm,3309
Pressmud,47,30,Sugarcane Industry,12mm to 20mm,2211
Pressmud,51,20,Sugarcane Industry,12mm to 20mm,2412
Groundnut,30,4,Industry,8mm to 90mm,4773
Cowdung,75,41,Land,8mm to 20mm,3300
Sawdust,29,28,Industry,8mm to 90mm,3875
Sawdust,20,19,Industry,8mm to 90mm,3898
Groundnut,31,4,Industry,8mm to 90mm,4851
Paddy Straw,16,49,Farming Land,12mm to 70mm,3441
Sawdust,17,16,Industry,8mm to 90mm,3657
Pressmud,58,22,Sugarcane Industry,12mm to 20mm,1767
Pressmud,54,32,Sugarcane Industry,12mm to 20mm,2342
Cowdung,79,32,Land,8mm to 20mm,3235
Sawdust,17,22,Industry,8mm to 90mm,3589
Groundnut,24,1,Industry,8mm to 90mm,5144
Groundnut,35,13,Industry,8mm to 90mm,5170
Groundnut,32,18,Industry,8mm to 90mm,5126
Cowdung,72,35,Land,8mm to 20mm,3571
Paddy Straw,17,46,Farming Land,12mm to 70mm,3198
Paddy Straw,16,49,Farming Land,12mm to 70mm,3775
Sawdust,22,15,Industry,8mm to 90mm,3919
Cowdung,72,42,Land,8mm to 20mm,3726
Paddy Straw,17,50,Farming Land,12mm to 70mm,3000
Sawdust,13,18,Industry,8mm to 90mm,4455
Cowdung,70,34,Land,8mm to 20mm,3480
Groundnut,24,6,Industry,8mm to 90mm,4532
Sawdust,19,29,Industry,8mm to 90mm,3667
Sawdust,16,30,Industry,8mm to 90mm,3526
Sawdust,29,16,Industry,8mm to 90mm,4243
Sawdust,15,14,Industry,8mm to 90mm,3568
Pressmud,48,40,Sugarcane Industry,12mm to 20mm,1901
Sawdust,22,29,Industry,8mm to 90mm,3604
Sawdust,11,12,Industry,8mm to 90mm,3751
Sawdust,30,22,Industry,8mm to 90mm,4297
Groundnut,37,10,Industry,8mm to 90mm,5104
Sawdust,28,22,Industry,8mm to 90mm,4401
Cowdung,65,41,Land,8mm to 20mm,3983
Sawdust,13,22,Industry,8mm to 90mm,3989
Sawdust,15,26,Industry,8mm to 90mm,4427
Pressmud,42,30,Sugarcane Industry,12mm to 20mm,2002
Sawdust,30,11,Industry,8mm to 90mm,4073
Groundnut,26,2,Industry,8mm to 90mm,5368
Groundnut,29,16,Industry,8mm to 90mm,4668
Paddy Straw,30,43,Farming Land,12mm to 70mm,3226
Paddy Straw,19,40,Farming Land,12mm to 70mm,3893
Groundnut,31,18,Industry,8mm to 90mm,5055
Cowdung,77,37,Land,8mm to 20mm,3315
Pressmud,46,31,Sugarcane Industry,12mm to 20mm,2156
Pressmud,43,20,Sugarcane Industry,12mm to 20mm,2406
Pressmud,49,25,Sugarcane Industry,12mm to 20mm,1524
Pressmud,43,26,Sugarcane Industry,12mm to 20mm,1650
Pressmud,60,28,Sugarcane Industry,12mm to 20mm,2324
Cowdung,64,43,Land,8mm to 20mm,3833
Groundnut,35,8,Industry,8mm to 90mm,4951
Sawdust,28,23,Industry,8mm to 90mm,4334
Sawdust,13,30,Industry,8mm to 90mm,4216
Cowdung,68,38,Land,8mm to 20mm,3135
Pressmud,40,31,Sugarcane Industry,12mm to 20mm,1542
Paddy Straw,30,40,Farming Land,12mm to 70mm,3013
Paddy Straw,18,30,Farming Land,12mm to 70mm,3602
Groundnut,23,3,Industry,8mm to 90mm,4710
Groundnut,29,1,Industry,8mm to 90mm,5189
Pressmud,47,36,Sugarcane Industry,12mm to 20mm,1673
Sawdust,22,28,Industry,8mm to 90mm,3964
Cowdung,68,36,Land,8mm to 20mm,3845
Groundnut,28,5,Industry,8mm to 90mm,4609
Cowdung,79,30,Land,8mm to 20mm,3774
Paddy Straw,17,50,Farming Land,12mm to 70mm,3410
Cowdung,77,39,Land,8mm to 20mm,3482
Sawdust,13,26,Industry,8mm to 90mm,4017
Paddy Straw,17,47,Farming Land,12mm to 70mm,3512
Pressmud,53,36,Sugarcane Industry,12mm to 20mm,2215
Pressmud,59,22,Sugarcane Industry,12mm to 20mm,2479
Paddy Straw,21,49,Farming Land,12mm to 70mm,3151
Groundnut,40,10,Industry,8mm to 90mm,5382
Pressmud,52,23,Sugarcane Industry,12mm to 20mm,1705
Sawdust,28,26,Industry,8mm to 90mm,4294
Paddy Straw,25,44,Farming Land,12mm to 70mm,3882
Sawdust,17,19,Industry,8mm to 90mm,4041
Pressmud,57,33,Sugarcane Industry,12mm to 20mm,2427
Groundnut,20,13,Industry,8mm to 90mm,4628
Paddy Straw,17,42,Farming Land,12mm to 70mm,3585
Groundnut,38,20,Industry,8mm to 90mm,4702
Paddy Straw,22,42,Farming Land,12mm to 70mm,3437
Paddy Straw,28,40,Farming Land,12mm to 70mm,3389
Paddy Straw,29,32,Farming Land,12mm to 70mm,3710
Sawdust,13,24,Industry,8mm to 90mm,4120
Pressmud,55,35,Sugarcane Industry,12mm to 20mm,2055
Groundnut,29,11,Industry,8mm to 90mm,5102
Paddy Straw,17,37,Farming Land,12mm to 70mm,3411
Sawdust,24,13,Industry,8mm to 90mm,3873
Groundnut,20,20,Industry,8mm to 90mm,5046
Pressmud,51,22,Sugarcane Industry,12mm to 20mm,1871
Sawdust,16,25,Industry,8mm to 90mm,4301
Cowdung,65,42,Land,8mm to 20mm,3543
Groundnut,35,2,Industry,8mm to 90mm,5420
Pressmud,46,30,Sugarcane Industry,12mm to 20mm,1989
Sawdust,27,26,Industry,8mm to 90mm,4422
Paddy Straw,20,45,Farming Land,12mm to 70mm,3030
Sawdust,26,29,Industry,8mm to 90mm,3704
Sawdust,17,30,Industry,8mm to 90mm,3581
Pressmud,46,34,Sugarcane Industry,12mm to 20mm,1677
Paddy Straw,17,42,Farming Land,12mm to 70mm,3071
Sawdust,25,22,Industry,8mm to 90mm,4274
Sawdust,11,13,Industry,8mm to 90mm,4411
Sawdust,14,12,Industry,8mm to 90mm,4436
Cowdung,69,31,Land,8mm to 20mm,3177
Pressmud,40,30,Sugarcane Industry,12mm to 20mm,1967
Sawdust,30,22,Industry,8mm to 90mm,3593
Cowdung,80,42,Land,8mm to 20mm,3959
Groundnut,28,1,Industry,8mm to 90mm,5321
Pressmud,41,39,Sugarcane Industry,12mm to 20mm,2212
Pressmud,44,24,Sugarcane Industry,12mm to 20mm,2466
Cowdung,68,48,Land,8mm to 20mm,3864
Pressmud,57,29,Sugarcane Industry,12mm to 20mm,2240
Pressmud,57,21,Sugarcane Industry,12mm to 20mm,2139
Pressmud,55,38,Sugarcane Industry,12mm to 20mm,1689
Pressmud,60,31,Sugarcane Industry,12mm to 20mm,1753
Paddy Straw,17,34,Farming Land,12mm to 70mm,3862
Cowdung,69,40,Land,8mm to 20mm,3259
Paddy Straw,28,33,Farming Land,12mm to 70mm,3678
Pressmud,58,26,Sugarcane Industry,12mm to 20mm,2206
Sawdust,17,12,Industry,8mm to 90mm,3795
Paddy Straw,10,41,Farming Land,12mm to 70mm,3817
Sawdust,28,22,Industry,8mm to 90mm,4089
Paddy Straw,18,39,Farming Land,12mm to 70mm,3598
Sawdust,28,12,Industry,8mm to 90mm,4288
Sawdust,27,27,Industry,8mm to 90mm,3705
Cowdung,68,36,Land,8mm to 20mm,3467
Paddy Straw,12,39,Farming Land,12mm to 70mm,3652
Groundnut,34,15,Industry,8mm to 90mm,5270
Sawdust,11,27,Industry,8mm to 90mm,4033
Sawdust,27,10,Industry,8mm to 90mm,3572
Groundnut,32,15,Industry,8mm to 90mm,5389
Cowdung,66,47,Land,8mm to 20mm,3489
Paddy Straw,11,43,Farming Land,12mm to 70mm,3669
Sawdust,14,20,Industry,8mm to 90mm,3906
Pressmud,43,34,Sugarcane Industry,12mm to 20mm,2328
Cowdung,68,41,Land,8mm to 20mm,3132
Paddy Straw,24,33,Farming Land,12mm to 70mm,3013
Groundnut,29,17,Industry,8mm to 90mm,5309
Groundnut,36,19,Industry,8mm to 90mm,4710
Paddy Straw,17,41,Farming Land,12mm to 70mm,3714
Groundnut,32,9,Industry,8mm to 90mm,4929
Pressmud,48,23,Sugarcane Industry,12mm to 20mm,1989
Pressmud,42,20,Sugarcane Industry,12mm to 20mm,2360
Sawdust,20,23,Industry,8mm to 90mm,3563
Cowdung,68,31,Land,8mm to 20mm,3234
Sawdust,18,19,Industry,8mm to 90mm,3594
Sawdust,26,21,Industry,8mm to 90mm,4467
Groundnut,24,9,Industry,8mm to 90mm,5328
Paddy Straw,18,35,Farming Land,12mm to 70mm,3550
Paddy Straw,19,39,Farming Land,12mm to 70mm,3341
Paddy Straw,13,48,Farming Land,12mm to 70mm,3705
Cowdung,66,40,Land,8mm to 20mm,3735
Pressmud,56,31,Sugarcane Industry,12mm to 20mm,2266
Sawdust,29,26,Industry,8mm to 90mm,4437
Paddy Straw,30,45,Farming Land,12mm to 70mm,3067
Cowdung,74,34,Land,8mm to 20mm,3560
Paddy Straw,28,44,Farming Land,12mm to 70mm,3130
Groundnut,35,7,Industry,8mm to 90mm,4939
Paddy Straw,18,36,Farming Land,12mm to 70mm,3855
Pressmud,60,35,Sugarcane Industry,12mm to 20mm,2341
Groundnut,33,11,Industry,8mm to 90mm,5491
Paddy Straw,18,43,Farming Land,12mm to 70mm,3674
Paddy Straw,26,35,Farming Land,12mm to 70mm,3206
Cowdung,80,40,Land,8mm to 20mm,3130
Cowdung,63,36,Land,8mm to 20mm,3168
Paddy Straw,19,45,Farming Land,12mm to 70mm,3866
Paddy Straw,24,43,Farming Land,12mm to 70mm,2985
Groundnut,31,8,Industry,8mm to 90mm,5302
Paddy Straw,13,49,Farming Land,12mm to 70mm,2928
Cowdung,66,43,Land,8mm to 20mm,3412
Paddy Straw,29,35,Farming Land,12mm to 70mm,3814
Sawdust,17,15,Industry,8mm to 90mm,3884
Paddy Straw,22,36,Farming Land,12mm to 70mm,3667
Groundnut,23,14,Industry,8mm to 90mm,4543
Paddy Straw,15,42,Farming Land,12mm to 70mm,3797
Cowdung,64,50,Land,8mm to 20mm,3395
Paddy Straw,15,48,Farming Land,12mm to 70mm,3197
Groundnut,23,15,Industry,8mm to 90mm,5055
Sawdust,10,21,Industry,8mm to 90mm,4474
Pressmud,48,38,Sugarcane Industry,12mm to 20mm,1952
Groundnut,36,7,Industry,8mm to 90mm,4614
Pressmud,50,37,Sugarcane Industry,12mm to 20mm,2422
Pressmud,51,31,Sugarcane Industry,12mm to 20mm,1701
Cowdung,62,42,Land,8mm to 20mm,3724
Paddy Straw,23,43,Farming Land,12mm to 70mm,3178
Groundnut,28,14,Industry,8mm to 90mm,5243
Pressmud,53,21,Sugarcane Industry,12mm to 20mm,2164
Groundnut,23,15,Industry,8mm to 90mm,5066
Paddy Straw,29,49,Farming Land,12mm to 70mm,3597
Cowdung,63,43,Land,8mm to 20mm,3451
Sawdust,30,22,Industry,8mm to 90mm,3539
Paddy Straw,24,30,Farming Land,12mm to 70mm,3900
Groundnut,31,3,Industry,8mm to 90mm,5026
Groundnut,28,2,Industry,8mm to 90mm,4719
Cowdung,65,34,Land,8mm to 20mm,3313
Cowdung,77,38,Land,8mm to 20mm,3075
Pressmud,49,30,Sugarcane Industry,12mm to 20mm,1543
Groundnut,35,17,Industry,8mm to 90mm,4750
Pressmud,49,36,Sugarcane Industry,12mm to 20mm,2265
Sawdust,19,19,Industry,8mm to 90mm,4156
Sawdust,23,27,Industry,8mm to 90mm,3628
Paddy Straw,16,44,Farming Land,12mm to 70mm,3347
Cowdung,70,30,Land,8mm to 20mm,3705
Cowdung,72,32,Land,8mm to 20mm,3823
Groundnut,37,0,Industry,8mm to 90mm,5268
Pressmud,56,40,Sugarcane Industry,12mm to 20mm,1691
Cowdung,78,30,Land,8mm to 20mm,3761
Groundnut,27,16,Industry,8mm to 90mm,5085
Pressmud,45,27,Sugarcane Industry,12mm to 20mm,2190
Cowdung,62,46,Land,8mm to 20mm,3292
Groundnut,28,19,Industry,8mm to 90mm,5433
Cowdung,70,42,Land,8mm to 20mm,3839
Sawdust,10,26,Industry,8mm to 90mm,4381
Groundnut,33,20,Industry,8mm to 90mm,5330
Sawdust,22,22,Industry,8mm to 90mm,4390
Pressmud,58,30,Sugarcane Industry,12mm to 20mm,1720
Groundnut,23,8,Industry,8mm to 90mm,4678
Groundnut,37,19,Industry,8mm to 90mm,4840
Sawdust,10,24,Industry,8mm to 90mm,3632
Sawdust,18,23,Industry,8mm to 90mm,4141
Paddy Straw,20,38,Farming Land,12mm to 70mm,3791
Sawdust,15,10,Industry,8mm to 90mm,3733
Pressmud,44,33,Sugarcane Industry,12mm to 20mm,1914
Pressmud,54,40,Sugarcane Industry,12mm to 20mm,1706
Cowdung,77,32,Land,8mm to 20mm,3437
Pressmud,52,34,Sugarcane Industry,12mm to 20mm,1926
